long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.48349323390801,-34.6319429066532,47,Sede Comuna 10,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RUO,Bacacay,3968,,BACACAY 3968,Floresta,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4328077486454,-34.6056004980668,49,Sede comuna 6,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Patricias Argentinas,277,,PATRICIAS ARGENTINAS AV. 277,Caballito,Comuna 6,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.40929504436129,-34.5871539229268,50,sede comuna 14,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Ceibo,Beruti,3325,,BERUTI 3325,Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.441557363601,-34.6211179761868,51,Mercado del Progreso,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RUO,Av. Rivadavia,5430,,RIVADAVIA AV. 5430,Caballito,Comuna 6,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.36983464376571,-34.6289667271251,52,Palacio Lezama,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,El Trebol,Martin Garcia,346,,"GARCIA, MARTIN AV. 346",Boca,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.45102364802939,-34.5572712834662,53,Barrio chino 2,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Madreselva,Arribeños,2200,,ARRIBEÑOS 2200,Belgrano,Comuna 13,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.375005728876495,-34.6072021287002,54,Diagonal Norte y Florida,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Amanecer,Diagonal Norte,0,Florida,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. y FLORIDA",San Nicolas,Comuna 1,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3917442320714,-34.5838544290076,55,Facultad de Derecho,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Figueroa Alcorta,2200,,"FIGUEROA ALCORTA, PRES. AV. 2200",Recoleta,Comuna 2,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.39086709872271,-34.5879312249325,56,Restaurant LA BIELA,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Av. Quintana,500,,"QUINTANA, MANUEL, PRES. AV. 500",Recoleta,Comuna 2,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.403475188467,-34.5773298711948,57,MALBA,Punto Verde Compactador,punto_verde_compactador,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",Ceibo,Figueroa Alcorta,3400,,"FIGUEROA ALCORTA, PRES. AV. 3400",Palermo,Comuna 14,"Para entregar los materiales, éstos deben estar limpios y secos"
